2,7,31,60
52,13,33,2
2,36,8,54
39,20,34,7
17,37,42,4
14,4,64,18
16,65,12,7
32,20,19,29
2,4,40,54
30,8,9,53
48,17,16,19
34,12,42,12
9,58,11,22
4,31,53,12
42,45,6,7
7,14,51,28
30,18,22,30
18,30,46,6
36,31,18,15
14,13,14,59
32,7,32,29
2,30,11,57
76,3,6,15
11,44,44,1
54,3,30,13
4,11,18,67
10,1,60,29
27,11,22,40
1,43,8,48
57,39,1,3
14,2,24,60
23,16,48,13
44,13,33,10
8,64,8,20
43,51,3,3
12,22,9,57
49,2,35,14
20,10,11,59
27,3,64,6
6,40,46,8
9,1,63,27
5,37,30,28
1,13,52,34
21,42,16,21
51,2,46,1
3,27,47,23
42,29,3,26
23,38,38,1
8,30,42,20
9,38,41,12
25,27,13,35
43,24,9,24
59,17,18,6
16,30,21,33
9,25,41,25
22,21,50,7
3,71,4,22
2,28,47,23
37,5,38,20
13,32,4,51
32,7,2,59
28,37,24,11
19,35,9,37
67,18,13,2
21,44,7,28
20,29,46,5
13,55,13,19
36,6,54,4
3,91,5,1
8,51,12,29
31,18,1,50
1,16,9,74
16,29,45,10
11,67,6,16
19,24,51,6
33,33,18,16
61,12,3,24
25,9,1,65
29,52,2,17
9,2,33,56
33,4,43,20
53,1,27,19
57,10,18,15
53,20,2,25
15,6,74,5
3,25,65,7
2,39,38,21
36,14,48,2
19,34,2,45
28,7,9,56
10,27,14,49
29,27,2,42
13,2,66,19
49,15,27,9
14,63,8,15
4,16,47,33
33,29,35,3
34,21,27,18
17,18,41,24
6,10,31,53
10,31,36,23
32,16,3,49
28,57,9,6
16,22,60,2
5,15,54,26
7,4,68,21
61,2,1,36
7,62,6,25
51,31,1,17
6,80,11,3
9,20,4,67
7,32,51,10
39,11,35,15
8,29,11,52
23,12,21,44
8,33,48,11
7,8,19,66
34,2,62,2
8,33,18,41
43,28,7,22
11,47,8,34
65,12,18,5
16,1,42,41
7,13,51,29
44,31,21,4
22,26,37,15
31,15,12,42
11,9,53,27
9,15,70,6
40,32,17,11
42,26,18,14
38,20,14,28
50,2,25,23
36,8,27,29
1,43,12,44
3,20,75,2
19,15,18,48
7,1,56,36
33,42,12,13
78,8,4,10
4,24,19,53
63,4,15,18
19,38,8,35
21,13,42,24
38,51,5,6
20,27,27,26
18,61,20,1
6,74,19,1
52,9,1,38
46,1,36,17
16,23,41,20
9,46,37,8
24,5,24,47
25,42,4,29
22,59,5,14
62,35,1,2
38,26,26,10
19,23,52,6
20,40,3,37
10,59,7,24
22,17,33,28
36,33,2,29
9,9,27,55
58,13,25,4
4,35,45,16
50,22,14,14
46,17,16,21
60,32,3,5
85,9,1,5
35,20,35,10
10,9,25,56
7,38,7,48
8,73,14,5
27,29,13,31
72,1,15,12
8,40,24,28
60,27,5,8
3,60,3,34
40,2,20,38
54,3,21,22
61,26,11,2
4,21,10,65
33,14,10,43
40,5,5,50
14,20,7,59
8,85,1,6
32,10,16,42
35,1,61,3
10,21,11,58
5,68,2,25
27,42,6,25
5,17,40,38
26,21,10,43
14,45,24,17
27,56,5,12
13,35,34,18
27,11,52,10
68,4,16,12
11,45,9,35
13,32,39,16
28,27,4,41
37,11,5,47
6,14,38,42
30,16,21,33
62,29,2,7
7,39,46,8
17,73,9,1
24,42,24,10
50,16,5,29
3,19,54,24
46,21,23,10
34,18,44,4
18,17,24,41
30,5,37,28
3,8,64,25
7,54,28,11
35,7,40,18
25,35,19,21
10,46,24,20
8,36,21,35
42,20,37,1
31,31,22,16
33,21,37,9
80,2,3,15
10,34,30,26
55,6,6,33
6,59,34,1
60,17,19,4
45,1,33,21
8,67,7,18
9,42,27,22
4,44,14,38
15,39,12,34
50,9,27,14
15,10,44,31
10,4,59,27
4,52,36,8
66,21,2,11
27,1,59,13
1,30,57,12
20,50,22,8
11,25,16,48
19,13,28,40
1,29,9,61
36,15,35,14
43,4,49,4
11,73,5,11
8,63,18,11
33,44,2,21
27,47,19,7
19,20,35,26
3,1,43,53
25,18,22,35
21,10,44,25
16,52,9,23
52,26,21,1
22,11,49,18
9,31,25,35
7,9,30,54
30,20,28,22
70,8,12,10
41,7,51,1
5,34,3,58
3,61,19,17
8,9,78,5
34,32,7,27
37,7,51,5
20,12,38,30
9,30,22,39
13,15,54,18
4,20,26,50
34,36,1,29
24,26,46,4
45,3,16,36
1,75,15,9
38,25,2,35
11,20,22,47
9,17,68,6
20,5,39,36
30,1,64,5
5,4,7,84
35,11,48,6
24,60,1,15
22,1,41,36
48,10,13,29
12,71,11,6
47,42,6,5
26,32,14,28
47,34,4,15
53,27,6,14
42,44,6,8
16,30,17,37
64,9,10,17
32,31,22,15
11,82,2,5
12,12,13,63
10,39,35,16
25,24,5,46
11,29,36,24
16,25,46,13
12,54,16,18
22,12,19,47
22,2,11,65
6,10,56,28
55,11,9,25
29,15,36,20
50,25,5,20
33,13,50,4
38,25,15,22
2,45,38,15
25,44,27,4
17,71,9,3
12,63,21,4
58,26,2,14
9,79,9,3
2,68,22,8
34,12,44,10
37,18,8,37
38,9,13,40
8,17,40,35
8,59,17,16
39,8,52,1
1,2,79,18
9,26,4,61
18,30,29,23
49,11,32,8
25,30,15,30
58,8,5,29
31,17,33,19
54,12,22,12
19,10,20,51
6,47,43,4
62,24,13,1
53,19,16,12
3,78,8,11
6,35,31,28
10,27,16,47
4,49,5,42
27,35,35,3
17,7,74,2
2,13,38,47
33,47,12,8
60,6,11,23
4,12,63,21
37,19,13,31
13,56,16,15
2,27,15,56
42,23,21,14
7,27,50,16
7,66,9,18
9,47,17,27
12,73,3,12
1,25,9,65
20,6,65,9
7,79,8,6
9,37,38,16
3,17,8,72
1,38,47,14
7,51,24,18
67,10,19,4
49,17,1,33
26,28,38,8
4,7,6,83
35,15,22,28
6,16,4,74
2,50,36,12
77,6,8,9
9,24,28,39
64,2,5,29
32,49,7,12
10,17,51,22
21,20,11,48
14,22,25,39
1,17,48,34
35,7,49,9
32,48,11,9
34,6,23,37
22,5,55,18
17,26,7,50
23,31,4,42
2,11,32,55
2,6,78,14
51,1,44,4
42,16,9,33
66,12,16,6
37,2,23,38
34,12,31,23
16,50,13,21
21,19,32,28
55,30,10,5
43,23,8,26
35,16,14,35
17,17,35,31
24,34,18,24
39,40,9,12
34,24,27,15
1,45,3,51
69,3,4,24
13,45,28,14
23,6,32,39
34,20,18,28
43,8,17,32
32,5,39,24
3,35,41,21
14,12,28,46
6,39,27,28
14,35,17,34
10,22,64,4
16,50,17,17
17,9,31,43
56,2,18,24
1,31,2,66
18,22,49,11
28,3,52,17
36,4,43,17
68,4,25,3
23,40,7,30
58,4,25,13
4,13,30,53
12,4,22,62
48,15,14,23
15,12,45,28
14,26,25,35
9,63,10,18
34,34,30,2
19,3,64,14
9,23,7,61
13,12,73,2
5,17,58,20
60,21,15,4
29,23,47,1
49,33,12,6
45,18,6,31
44,36,11,9
23,25,37,15
70,12,10,8
11,40,5,44
48,4,44,4
36,35,9,20
34,30,3,33
10,56,16,18
17,65,5,13
2,28,35,35
37,37,19,7
6,34,25,35
25,13,42,20
22,41,2,35
39,15,8,38
16,26,35,23
17,5,32,46
43,9,25,23
25,19,48,8
15,40,3,42
67,3,17,13
5,32,54,9
34,43,10,13
62,14,18,6
24,32,12,32
12,15,10,63
11,27,38,24
8,33,34,25
44,18,5,33
8,44,33,15
14,68,10,8
1,27,6,66
20,18,59,3
31,17,13,39
2,32,33,33
5,21,67,7
28,9,18,45
2,14,79,5
43,13,25,19
13,9,61,17
12,27,33,28
5,13,43,39
22,30,15,33
51,7,22,20
30,24,5,41
11,2,23,64
15,12,2,71
33,18,23,26
36,31,8,25
7,6,49,38
9,25,19,47
1,33,39,27
30,26,24,20
12,34,11,43
23,52,19,6
2,71,22,5
8,34,37,21
50,7,8,35
19,4,15,62
32,3,5,60
51,20,28,1
15,14,46,25
15,16,4,65
15,17,6,62
4,43,13,40
67,7,17,9
9,25,35,31
